Beer,Origin,Style,ABV,Ratings
Avery Ellies Brown,CO,Brown Ale,5.5%,3.358
Southern Tier Phin & Matts Extraordinary Ale,NY,American Pale Ale,5.2%,3.357
Hofbrauhaus Newport Dunkel,KY,Dunkel / Dark Lager,5.5%,3.357
Orchard Street Pale Ale,WA,American Pale Ale,5%,3.357
Berkshire Draymans Porter,MA,Porter,6.2%,3.357
Karl Strauss 21st Anniversary Ale,CA,Belgian Strong Ale,10.2%,3.357
Schell Stout,MN,Milk Stout,-,3.357
Saint Arnold Divine Reserve #7,TX,Weizenbock,8.4%,3.357
Tyranena Painted Ladies Pumpkin Spice Ale,WI,Spiced Beer,7.5%,3.357
Fort Collins The Incredible Hop - Imperial Black IPA,CO,American Black Ale,10%,3.357
Il Vicino Wet Mountain India Pale Ale,CO,IPA,-,3.357
Town Hall Czar Jack Imperial Stout,MN,Imperial Stout,9.5%,3.357
Brew It Up! Czar's Tar,CA,Imperial Stout,9%,3.357
Milwaukee Ale House Love Rock (Flaming Damsel),WI,Vienna / Amber Lager,5.1%,3.357
Chelsea Blackhole XXX Stout,NY,Stout,7.3%,3.357
French Broad Zepptemberfest,NC,Marzen / Oktoberfest,6.1%,3.357
Ottos Mt. Nittany Pale Ale,PA,American Pale Ale,5.2%,3.357
Kross Double Kross Brown Ale,VT,Abbey Dubbel,5.9%,3.357
Bells Oatmeal Stout,MI,Oatmeal Stout,5.7%,3.357
Anderson Valley El Steinber Dark Lager,CA,Dunkel / Dark Lager,5.5%,3.357
Dogfish Head American Beauty,DE,American Pale Ale,9%,3.357
Clown Shoes/Brash Pimp Double Brown Ale,MA,Strong Ale,10%,3.357
Clown Shoes Genghis Pecan Pie Porter,MA,Porter,7%,3.357
Redhook Eisbock 28,WA,Eisbock,11%,3.356
Flying Fish Exit 4,NJ,Abbey Tripel,9.5%,3.356
Wynkoop April Fools Rocky Mountain Oyster Stout,CO,Oyster Stout,-,3.356
New Belgium Lips of Faith Kick,CO,Spiced Beer,8.5%,3.356
Blue Ridge ESB Red Ale,MD,Extra Special Bitter,4.8%,3.356
Pizza Port Z U Later Doppelbock,CA,Doppelbock,8%,3.356
Widmer Brothers Rotator IPA Series - ORyely IPA,OR,IPA,6.4%,3.356
Pike Auld Acquaintance,WA,Spiced Beer,6.5%,3.356
Victory Whirlwind Witbier,PA,Witbier,5%,3.355
Heavy Seas Red Sky At Night,MD,Saison,8.25%,3.355
Flying Fish ESB,NJ,Extra Special Bitter,5.5%,3.355
Southern Tier Big Red,NY,Strong Ale,9.5%,3.355
Legacy Hedonism Ale,PA,Strong Ale,7%,3.355
He'Brew Messiah Nut Brown Ale,CA,Brown Ale,5.5%,3.355
Heavyweight Saison de la Soeur Spicy,NJ,Saison,6.2%,3.355
Yuengling Porter,PA,Porter,5%,3.354
Michigan Brewing Celis White,MI,Witbier,4.25%,3.354
Weeping Radish Hefeweizen,NC,Hefeweizen,5.8%,3.354
Leinenkugel Amber Light,WI,Light / Lite Lager,4.14%,3.354
Beer Valley Leafer Madness Imperial Pale Ale,OR,Imperial IPA,9%,3.354
Mendocino Talon Barley Wine,CA,American Barleywine,10.5%,3.353
Allagash Hugh Malone Ale,ME,Belgian Strong Ale,8.5%,3.353
Erie Brewing Railbender Ale,PA,Scottish Ale,6.8%,3.350
Starr Hill Northern Lights,VA,IPA,7.2%,3.350
Victory Summer Love Ale,PA,Blonde Ale,5.2%,3.350
Tallgrass Oasis,KS,Extra Special Bitter,7.2%,3.350
Grand Teton Lost Continent,ID,Imperial IPA,8%,3.350
Surly Hell,MN,Kellerbier,4.5%,3.350
Issaquah Menage Frog,WA,Abbey Tripel,9%,3.350
Full Sail Bump In The Night,OR,American Black Ale,6.5%,3.350
Magic Hat Participation Ale,VT,Brown Ale,4%,3.350
Little Apple Bison Brown Ale,KS,Brown Ale,-,3.350
Independence Oatmeal Stout,PA,Oatmeal Stout,5.5%,3.350
Highland Little Hump Spring Ale,NC,American Pale Ale,4.5%,3.350
Grand Teton Trout Hop Black IPA,ID,American Black Ale,8.5%,3.350
Hales Rudyards Rare Barleywine,WA,English Barleywine,9.2%,3.350
5 Seasons Munich Helles,GA,Helles / Dortmunder,-,3.350
Wolavers Will Stevens Pumpkin Ale,VT,Spiced Beer,4.7%,3.350
Revolution Anti-Hero IPA,IL,IPA,6%,3.350
Flying Dog Wild Dog Collaborator Doppelbock,MD,Doppelbock,8.3%,3.350
Dick's Belgian Tripel,WA,Abbey Tripel,8%,3.350
Sonoran Burning Bird Pale Ale,AZ,American Pale Ale,4.8%,3.350
Concord Rapscallion Creation,MA,Strong Ale,9.5%,3.350
Taps Hefeweizen,CA,Hefeweizen,-,3.350
Baron Rauchbier,WA,Rauchbier,5%,3.350
Squatters Provo Girl Pilsner,UT,Bohemian / Czech Pilsener,4%,3.350
Twains Mad Happy Pale Ale,GA,American Pale Ale,-,3.350
Goose Island Green Line Pale Ale,IL,American Pale Ale,5%,3.350
New England Atlantic Amber,CT,California Common / Steam,-,3.350
Moonlight Toast (Slightly Burnt) Toasted Lager,CA,Strong Lager,6.2%,3.350
Titletown Nutter Brown,WI,Brown Ale,-,3.350
Brimstone Big Ale,MD,English Barleywine,13.2%,3.350
Lost Coast Old Ale,CA,Old Ale,-,3.350
Buckeye Nighty Night,OH,Belgian Strong Ale,11.5%,3.350
Santa Barbara Wet Sand Fresh Hop Pale,CA,American Pale Ale,5.8%,3.350
5 Seasons O'Dempseys Big Red,GA,Irish Ale,-,3.350
MacTarnahans Full Bloom Craft Lager,OR,Bohemian / Czech Pilsener,6.3%,3.350
Marshall Old Pavilion Pilsner,OK,Bohemian / Czech Pilsener,-,3.350
Wedge Iron Rail IPA,NC,IPA,6.2%,3.350
Jester King Boxers Revenge Farmhouse Provision Ale,TX,Saison,9%,3.350
FiftyFifty Rockslide IPA,CA,IPA,6.7%,3.350
Knee Deep Immigration Red Ale - (IRA),CA,Amber Ale,7%,3.350
Otter Creek 15th Anniversary IPA,VT,IPA,6.8%,3.350
Hill Farmstead Anna,VT,Saison,6.4%,3.350
Natty Greene's Southern Pale Ale,NC,American Pale Ale,5.2%,3.350
McGuires Irish Pale Ale (IPA),FL,IPA,6%,3.350
Ballast Point Hout Ont Moet Beer (Unblended),CA,Fruit Lambic,5.5%,3.350
Iron Hill Fresh Hop Harvest Ale,DE,American Pale Ale,4.2%,3.350
High Noon Oregon Trail Raspberry Wheat,KS,Fruit Beer,4.46%,3.350
Widmer Brothers W'06 NW Red Ale,OR,Strong Ale,7%,3.350
Paper City Indian Pale Ale,MA,IPA,5.4%,3.350
Titletown Art Schmidts Pilsner,WI,Bohemian / Czech Pilsener,-,3.350
Funkwerks Cherry Saison,CO,Fruit Beer,-,3.350
Great Waters Brown Trout Brown Ale,MN,Brown Ale,5.8%,3.350
Red Hare Gangway IPA,GA,IPA,6.9%,3.350
Amherst Brewing Cascade IPA,MA,IPA,5.3%,3.350
Rock Bottom Lumpy Dog Brown,CO,Brown Ale,-,3.350
Saranac Maple Porter,NY,Porter,5.3%,3.350
Dogfish Head Wrath of Pecant,DE,Brown Ale,6%,3.350
Jester King Bonnie the Rare Berliner Weisse,TX,Berliner Weisse,3.3%,3.350
Ottos Black Mo Stout,PA,Dry Stout,4.9%,3.350
Bristol Edge City Double IPA,CO,Imperial IPA,10.9%,3.350
Saranac Bohemian Pilsener,NY,Bohemian / Czech Pilsener,-,3.350
Iron Horse Mocha Death,WA,Coffee Stout,7%,3.350
Coronado Brewing Blue Bridge Coffee Stout,CA,Coffee Stout,5.4%,3.350
Hops & Grain The One They Call Zoe,TX,Pale Lager,5.2%,3.350
North Coast Class of '88 Barley Wine,CA,American Barleywine,-,3.350
Sierra Nevada DevESTATEtion,CA,American Black Ale,6.7%,3.350
Morgan Street Jack Daniels Barrel Aged Oatmeal Stout,MO,Imperial Stout,9%,3.350
Saint Arnold Divine Reserve #1,TX,American Barleywine,9.3%,3.350
Copper Creek Old Bruin,GA,Flanders Oude Bruin,-,3.350
Cisco Cherry Woods,MA,Wild Ale,4.7%,3.350
Wakonda Timberbeast IPA,OR,IPA,7.2%,3.350
Brewzzi Reserve Oak Aged Irish Porter,FL,Porter,6.6%,3.350
Sweetwater Tavern Chipotle Porter,VA,Spiced Beer,-,3.350
Lagunitas Bourbon Brown Shugga,CA,American Barleywine,12%,3.350
Dock Street India Pale Ale,PA,IPA,-,3.350
Ezo Beer Imperial Chocolate Stout,OR,Imperial Stout,10%,3.350
Sly Fox Abbey Extra,PA,Belgian Ale,6%,3.350
Barrington Black Bear Stout,MA,Stout,-,3.350
Barrington Brown Ale,MA,Brown Ale,-,3.350
Great Adirondack Cloudsplitter Barleywine,NY,American Barleywine,9.5%,3.350
Bullfrog Raspberry Imperial Stout,PA,Imperial Stout,8.9%,3.350
Willimantic E-Mail IPA,CT,IPA,5.4%,3.350
Freetail Fortuna Roja,TX,Wild Ale,6.9%,3.350
Ballast Point Brandy Barrel Aged Navigator Doppelbock,CA,Doppelbock,10%,3.350
Jackie O's Rum Barrel Oil of Aphrodite,OH,Imperial Stout,10%,3.350
Jackie O's Bourbon Barrel Aged Sweet Chocolate Love,OH,Oatmeal Stout,7%,3.350
Olde Burnside Father Christmas Highland Ale,CT,Scottish Ale,9%,3.350
Real Ale The Kraken,TX,American Barleywine,11%,3.350
Chicago Brewing Black Star Stout,IL,Stout,-,3.350
Rock Bottom Clares Hungry Ale,CO,American Barleywine,11%,3.350
Haymarket Indignant Bourbon Imperial Stout,IL,Imperial Stout,12.5%,3.350
Alpine Beer Company Boris,CA,Imperial Stout,10%,3.350
McNeills Bucksnort,VT,American Barleywine,14%,3.350
Willimantic Commemorative IPA,CT,IPA,7.2%,3.350
Brewzzi Reserve Belgian Dark Ale,FL,Belgian Ale,7.8%,3.350
City Steam Careless Love Biere de Garde,CT,Biere de Garde,7.2%,3.350
Mad Brewer White Storm,OH,Strong Ale,9%,3.350
Three Floyds Drunk Monk,IN,Hefeweizen,4.8%,3.350
Black Husky Big Buck Brown Ale,WI,Brown Ale,8%,3.350
San Diego Ice-Olator,CA,Imperial IPA,9.1%,3.350
Willimantic Postage Porter,CT,Porter,5.6%,3.350
Willimantic Rail Mail Rye,CT,Rye Beer,5.5%,3.350
Avondale Vanillaphant Porter,AL,Porter,5.9%,3.350
Flat Branch Katy Brown Ale,MO,Brown Ale,-,3.350
Port City One,VA,Imperial Stout,9.5%,3.350
Shenandoah Oak Barrel Aged Stony Man Stout,VA,Stout,6%,3.350
Wild Heaven Eschaton,GA,Abbey Quadrupel,10.5%,3.350
Mad Brewer West 12,OH,Abbey Quadrupel,10.5%,3.350
Upstream Oak Aged Kriek,NE,Fruit Lambic,6.5%,3.350
Lompoc Barrel Aged Doppel Bock,OR,Doppelbock,8%,3.350
5 Seasons Westside Eyes of the World,GA,IPA,6.5%,3.350
Troegs Beer Union Brown Ale,PA,Brown Ale,-,3.350
Firestone Walker Good Foot,CA,American Barleywine,14.3%,3.350
Wrecking Bar Madame Von Schtupp Hefeweizen,GA,Hefeweizen,5%,3.350
Silver Peak Bourbon Barrel Stout,NV,Imperial Stout,11%,3.350
Wrecking Bar BaDunkeldonk,GA,Dunkel Weizen,5.1%,3.350
The Brew Kettle Bourbon Aged Jackhammer Barleywine,OH,American Barleywine,10%,3.350
Bullfrog Smoked Porter,PA,Smoked Ale,-,3.350
O'so Nitro Train,WI,Porter,6.7%,3.350
Jackie O's Cellar Cuvee 5,OH,Strong Ale,9%,3.350
Kettle House Hemptober Spliff,MT,Marzen / Oktoberfest,6.5%,3.350
Schmohz Bonecrusher Stout,MI,Stout,6.4%,3.350
Lucky Labrador Reggies Red,OR,Irish Ale,5%,3.350
Lovejoys Atlas Stout,TX,Stout,-,3.350
5 Seasons North The Great Pumpkin Ale,GA,Spiced Beer,5.25%,3.350
Old Dominion Winter Brew Baltic Porter,DE,Baltic Porter,7.2%,3.350
Wrecking Bar Victor IPA,GA,IPA,7.3%,3.350
Great Lakes Loch Erie Scotch Ale,OH,Scottish Ale,8.3%,3.350
Schlafly Organic Pale Ale,MO,English Pale Ale,-,3.350
Gilded Otter Belgian Tripel,NY,Abbey Tripel,9.5%,3.350
Urban Chestnut Hopfen,MO,IPA,6.2%,3.350
Lovejoys Hot Rod Honey Ale,TX,Blonde Ale,-,3.350
Sierra Nevada Wood-Aged Old Ale,CA,Old Ale,8.5%,3.350
Cascade Sang Rouge,OR,Flanders Red,8%,3.350
Freetail Ananke,TX,Wild Ale,5%,3.350
Arcadia Barrel Aged Cereal Killer,MI,English Barleywine,12%,3.350
Blackberry Farm Classic Saison,TN,Saison,6%,3.350
The Bruery Bois Fume,CA,Strong Ale,16.2%,3.350
Ballast Point Grapefruit Sculpin,CA,IPA,7%,3.350
Stone 15th Anniversary Escondidian Imperial Black IPA (Highland Scotch),CA,American Black Ale,11.5%,3.350
Due South/Cigar City Desert Inn Rye IPA,FL,IPA,7%,3.350
Upright Fantasia,OR,Wild Ale,5.75%,3.350
Pizza Port Deeeez Smokin Nuts,CA,Porter,-,3.350
Stone Dark Oak Double Bastard,CA,American Barleywine,10.7%,3.350
Pizza Port Suavecito,CA,Coffee Stout,8%,3.350
Clown Shoes Ohio Unidragon,MA,Imperial Stout,11.5%,3.350
Societe The Butcher,CA,Imperial Stout,9.8%,3.350
Deschutes Green Monster,OR,Wild Ale,7.3%,3.350
Perennial  Artisan Sump,MO,Imperial Stout,10.5%,3.350
Alesmith Barell Aged Decadence 2010,CA,Old Ale,11%,3.350
Stone Bourbon Barrel Aged 12th Anniversary Bitter Chocolate Oatmeal Stout,CA,Imperial Stout,-,3.350
Firestone Walker Lil' Opal,CA,Saison,5.6%,3.350
Max Gimme Chocolate Bock,GA,Doppelbock,7%,3.350
Alesmith Rye Barrel Aged Old Numbskull,CA,American Barleywine,11%,3.350
Samuel Adams Merry Maker,MA,Stout,9%,3.350
Jackie O's Bourbon Barrel Aged Skipping Stone,OH,Abbey Quadrupel,-,3.350
Cascade Cerise Nouveau,OR,Wild Ale,8.12%,3.350
Firestone Walker Opal,CA,Saison,7.5%,3.350
Odell Celastrina,CO,Saison,7.5%,3.350
Choc / Prairie Collaboration Ale Wild Brew 2013 Spelt Saison,OK,Saison,8%,3.350
Perennial Artisan Tart Hopfentea,MO,Berliner Weisse,4.5%,3.350
Cigar City SNACK ATTACK!,FL,Imperial Porter,10%,3.350
Ballast Point Victory at Sea (Mole),CA,Imperial Porter,10%,3.350
Lonerider Pistols at Dawn,NC,Oatmeal Stout,7.5%,3.350
Wrecking Bar Nathans 13 Minute Amber,GA,Amber Ale,7.4%,3.350
Hill Farmstead Twilight of the Idols,VT,Imperial Porter,7.5%,3.350
Nebraska Sexy Betty Russian Imperial Stout,NE,Imperial Stout,10%,3.350
Founders Sweet Repute,MI,Wheatwine,12.6%,3.350
McNeills Dark Angel Imperial Stout,VT,Imperial Stout,10%,3.350
Three Taverns A Night in Brussels IPA,GA,IPA,7.5%,3.350
Nantahala Trail Magic Ale No. 1 (Bourbon Barrel Aged Russian Imperial Stout),NC,Imperial Stout,9.8%,3.350
Green Flash / Pizza Port / Stone Batch 1 Highway 78 Scotch Ale,CA,Scottish Ale,12.5%,3.350
Cigar City/Mikkeller Life Is Like ...,FL,Imperial Stout,15%,3.350
Alesmith Barrel Aged Grand Cru,CA,Belgian Strong Ale,10%,3.350
Jekyll Hootn & Hollern Double IPA,GA,Imperial IPA,8%,3.350
Odell Mothman,CO,Saison,-,3.350
Gigantic Massive!,OR,English Barleywine,12%,3.350
Stone Bourbon Barreled 15th Anniversary Escondidian Black IPA with Espresso Beans,CA,American Black Ale,-,3.350
Wicked Weed Black Angel Cherry Sour,NC,Wild Ale,6.6%,3.350
Wicked Weed Freak of Nature Triple IPA,NC,Imperial IPA,11%,3.350
Wicked Weed Saison XII Peach Habanero,NC,Saison,6.2%,3.350
Russian River Propitiation,CA,Wild Ale,7%,3.350
Doug's Bombshell Quad IPA,CO,Imperial IPA,13.6%,3.350
Wrecking Bar Cry Onkel Dunkelweizen,GA,Dunkel Weizen,5%,3.350
The Bruery Mash,CA,English Barleywine,12.5%,3.350
Russian River Shadow of a Doubt,CA,Imperial Porter,9.86%,3.350
Schlafly Pilsner,MO,Bohemian / Czech Pilsener,4.8%,3.348
He'Brew Rejewvenator 2009 (Year of the Date),CA,Doppelbock,7.8%,3.347
Rogue Oregon Golden Ale,OR,Blonde Ale,5%,3.346
Samuel Adams Fat Jack Double Pumpkin,MA,Spiced Beer,8.5%,3.346
Ballast Point Sea Monster Imperial Stout,CA,Imperial Stout,10%,3.346
Harpoon Celtic Ale,MA,Irish Ale,5.4%,3.345
Shipyard Ringwood Old Thumper,ME,Extra Special Bitter,5.9%,3.345
Oggi's Torrey Pines IPA,CA,IPA,6.8%,3.345
Thomas Creek Deep Water Dopplebock,SC,Doppelbock,6.25%,3.344
Coast Range Farmhouse Two Tractor New World Ale,CA,American Pale Ale,5.5%,3.344
Full Sail LTD 04,OR,Pale Lager,7%,3.344
Reunion - A Beer for Hope 2008,CA,Rye Beer,6.5%,3.344
Full Sail Son of Spot IPA,OR,IPA,6%,3.344
Left Hand Terra-RyeZD Black Rye Lager,CO,Rye Beer,6.6%,3.344
Left Hand Barrel-Aged Wake Up Dead,CO,Imperial Stout,10.2%,3.344
Epic Sour Apple Saison,UT,Saison,8%,3.344
DC Brau The Corruption,DC,IPA,6.5%,3.344
Depot Street Depot Express,TN,Amber Ale,5.6%,3.344
Samuel Adams Latitude 48 Deconstructed IPA - Simcoe,MA,IPA,6%,3.344
Moylan's IPA,CA,IPA,6.5%,3.343
Newport Storm Hurricane Amber Ale,RI,Amber Ale,5.2%,3.343
Ellicottville Two Brothers Pale Ale,NY,American Pale Ale,-,3.343
Drake's Apple Brandy Barrel Olde Ale,CA,Old Ale,10.24%,3.343
OBP Toasted Coconut Porter,SC,Porter,5.25%,3.343
Otter Creek Otter Mon Jamaican-Style Stout,VT,Foreign / Extra Stout,-,3.343
Schell Bock,MN,Bock,5.6%,3.343
Railhouse Blueberry Draft,WI,Fruit Beer,4.5%,3.343
Wachusett IPA,MA,IPA,5.6%,3.343
Triumph Irish Dry Stout,NJ,Dry Stout,-,3.343
Pizza Port Ale Nino,CA,Strong Ale,-,3.343
Laurelwood Organic Free Range Red,OR,Amber Ale,6.1%,3.343
Lake Superior Special Ale,MN,American Pale Ale,-,3.343
Far West Three Threads Porter,WA,Porter,-,3.343
New Glarus Laughing Fox,WI,Krystal Weizen,4.5%,3.343
Michelob Bavarian Style Wheat,MO,Hefeweizen,5.2%,3.342
Fish Tale Winterfish Ale,WA,IPA,7%,3.342
Coronado Brewing Mermaid's Red Ale,CA,Amber Ale,5.7%,3.342
Reunion - A Beer for Hope 2007,CA,Brown Ale,7.5%,3.342
Lazy Magnolia Southern Pecan,MS,Brown Ale,4%,3.340
Sprecher Winter Brew,WI,Bock,5.75%,3.340
New Glarus Unplugged Bourbon Barrel Bock,WI,Doppelbock,-,3.340
General Lafayette Raspberry Mead Ale,PA,Mead,9.6%,3.340
Tyranena Spank Me Baby Barleywine Style Ale,WI,American Barleywine,-,3.340
Dogwood Breakdown IPA,GA,IPA,5.9%,3.340
Rubicon India Pale Ale,CA,IPA,6.5%,3.340
New Belgium / Cigar City  Lips of Faith with Anaheim and Marash Chilies,CO,Spiced Beer,8.5%,3.340
Kannah Creek Broken Oar IPA,CO,IPA,6.4%,3.340
Iron Horse Quilters Irish Death,WA,Imperial Stout,7.8%,3.340
Columbus 1859 Porter,OH,Porter,6%,3.340
Nodding Head Georges Fault,PA,Belgian Strong Ale,9%,3.340
Pizza Port BlackBall Imperial Stout,CA,Imperial Stout,10%,3.340
Jester King Thrash Metal Farmhouse Strong Ale,TX,Strong Ale,9.3%,3.340
Chama River Mal Pais Stout,NM,Stout,5%,3.340
Triumph Oatmeal Stout,NJ,Oatmeal Stout,5.2%,3.340
Cigar City / The Bruery Dos Costas Oeste (Grapefruit),FL,Saison,9%,3.340
Cigar City Bourbon Barrel Aged Big Sound Scotch Ale,FL,Scottish Ale,8.5%,3.340
Valley Brew Old Headbanger Ale,CA,Old Ale,8%,3.340
Asheville Moog Filtered Ale,NC,American Pale Ale,-,3.340
Gilded Otter New Paltz Crimson Lager,NY,Vienna / Amber Lager,4.2%,3.340
Titletown Rackers BotanicAle,WI,American Pale Ale,-,3.340
Rock Bottom Fire Chief Ale,CO,Amber Ale,5.5%,3.340
Migration Lupulin IPA,OR,IPA,6.5%,3.340
Gentle Bens MacBlanes Oatmeal Stout,AZ,Oatmeal Stout,6.8%,3.340
Dust Bowl Russian Imperial Stout,CA,Imperial Stout,9.3%,3.340
Arbor Brasserie Greff Blonde,MI,Belgian Ale,5.75%,3.340
Lagunitas Golden Equinox Ale,CA,American Pale Ale,6.4%,3.340
Twains Hannibal India Red Ale,GA,Strong Ale,-,3.340
Titletown Studded Tire Amber Ale,WI,Amber Ale,-,3.340
Lakefront Rôsie,WI,Wild Ale,9%,3.340
Sandlot Right Field Red,CO,Amber Ale,-,3.340
Vintage Pumpkin Disorderly,WI,Spiced Beer,7%,3.340
Hops & Grain Pale Dog,TX,American Pale Ale,5.9%,3.340
Seabright Resolution Red,CA,Amber Ale,7.1%,3.340
North By Northwest Kriek,TX,Flanders Red,5%,3.340
Brau Brothers Hundred Yard Dash Fresh Hop Ale,MN,IPA,6.8%,3.340
Russian River Lap Dance,CA,American Pale Ale,5.55%,3.340
Woodchuck Spring Cider,VT,Cider,5%,3.340
JailHouse Reprieve,GA,Saison,6%,3.340
Sly Fox Warrior IPA,PA,IPA,7%,3.340
Taps Imperial Russian Stout,CA,Imperial Stout,-,3.340
Cigar City Campeador - Fergus Mor,FL,Strong Ale,10.5%,3.340
Sly Fox Belgian Dubbel,PA,Abbey Dubbel,7.6%,3.340
Sly Fox Slacker Bock,PA,Bock,6.6%,3.340
Tyranena Bitter Woman From Hell Extra IPA,WI,IPA,6.25%,3.340
High Noon Stampede Stout,KS,Oatmeal Stout,5.5%,3.340
Green Flash 30th Street Pale Ale,CA,American Pale Ale,6%,3.340
Terminal BrewHouse Monks Wages,TN,Belgian Ale,-,3.340
Titletown Beergarden Pale Ale,WI,American Pale Ale,-,3.340
McNeills Scotch Ale,VT,Scottish Ale,-,3.340
Vintage Joulupukki,WI,Rye Beer,7.7%,3.340
Railhouse Oconto Premium,WI,Light / Lite Lager,3.9%,3.340
Railhouse Brewers Best Pilsener,WI,Bohemian / Czech Pilsener,5%,3.340
Delafield Monastic Bombastic,WI,Belgian Strong Ale,8.5%,3.340
Golden City Evolution IPA,CO,IPA,7%,3.340
Blue Star IPA,TX,IPA,-,3.340
Harpoon Leviathan Barleywine,MA,English Barleywine,10.3%,3.340
Dogfish Head T' ej,DE,Mead,10%,3.340
Midnight Sun BREWtality Espresso Black Bier,AK,Schwarzbier,9.7%,3.340
Santa Barbara SFH (So F'n Hoppy),CA,Imperial IPA,9.5%,3.340
Great River Redband,IA,Coffee Stout,6%,3.340
Fort George Sunrise Oatmeal Pale Ale,OR,American Pale Ale,5.5%,3.340
Midnight Sun XXX Black Double IPA (30th Anniversary),AK,American Black Ale,8.5%,3.340
5 Seasons Brave Sir Robin's English Mild,GA,Mild Ale,4.5%,3.340
Peak Organic Simcoe Spring Ale,ME,American Pale Ale,5.4%,3.340
Auburn Alehouse Cafe Shanghai Oatmeal Stout,CA,Oatmeal Stout,4.8%,3.340
Narragansett Summer Ale,RI,American Pale Ale,4.2%,3.340
Port Washington Two-Headed Monk,WI,Doppelbock,8.2%,3.340
Flagstaff Sasquatch Stout,AZ,Stout,6%,3.340
Brewers Art St. Festivus,MD,Belgian Strong Ale,8.5%,3.340
McKenzie Shipwrecker Red Ale,PA,Amber Ale,6.5%,3.340
Titletown St. Norbert Pilsner,WI,Bohemian / Czech Pilsener,-,3.340
Brooklyn Fortitude,NY,Belgian Strong Ale,8.5%,3.340
Heavyweight Nay Trouse Mild,NJ,Mild Ale,3.8%,3.340
Blackhorse Vanilla Cream Ale,TN,Cream Ale,-,3.340
Three Creeks Hoodoo Voodoo,OR,IPA,6.2%,3.340
Harpoon Doèesná (100 Barrel Series),MA,English Pale Ale,6.1%,3.340
Cigar City Capricho Oscuro (Batch 3),FL,Strong Ale,9%,3.340
Fort Collins Smokin Lager,CO,Rauchbier,-,3.340
Engine House India Pale Ale,WA,IPA,-,3.340
Peak Organic King Crimson,ME,Amber Ale,9.5%,3.340
Lewis & Clark Tumbleweed IPA,MT,IPA,5.7%,3.340
Foothills Cottonwood Frostbite Ale,NC,American Black Ale,-,3.340
Glacier BrewHouse India Pale Ale,AK,IPA,-,3.340
Maritime Pacific Islander Pale Ale,WA,American Pale Ale,5.5%,3.340
Full Sail Hopocity,OR,American Pale Ale,5.2%,3.340
Ballast Point Navigator DoubleBock,CA,Doppelbock,8%,3.340
Surly Two,MN,Fruit Beer,9%,3.340
Troutbrook Thomas Hooker Munich Style Golden Lager,CT,Helles / Dortmunder,5.3%,3.340
Great Lakes Prohibition Pils (Barrel Select),OH,Bohemian / Czech Pilsener,5.1%,3.340
FiftyFifty Collaborative Evil,CA,Belgian Strong Ale,10%,3.340
Oskar Blues Gordon,CO,Imperial IPA,9.2%,3.340
Karl Strauss Flan-diddly-anders Red,CA,Flanders Red,5.5%,3.340
Summit Unchained 03 India Style Rye Ale,MN,Rye Beer,6.3%,3.340
Almanac Autum 2011 Farmhouse Pale,CA,Saison,7%,3.340
Blue Star King William Ale,TX,American Barleywine,-,3.340
Crispin Natural Hard Apple Cider Artisanal Reserve The Jacket,MN,Cider,8.3%,3.340
Coast Sunset Amber,MS,Amber Ale,-,3.340
BridgePort Stumptown Tart  2012,OR,Fruit Beer,7.8%,3.340
Thirsty Dog Rail Dog,OH,Schwarzbier,6.7%,3.340
Pike Post Alley Porter,WA,Porter,6%,3.340
Lakefront My Turn Series #002- Brad Brewed A Scottish Ale,WI,Scottish Ale,8.5%,3.340
Upslope Imperial India Pale Ale,CO,Imperial IPA,10%,3.340
Sweetwater 16 So Fine Red Wheat Wine Ale,GA,Wheatwine,11%,3.340
Blue Tarp Last Place Stout,GA,Imperial Stout,10.6%,3.340
Lakefront My Turn Series #005 - Chris Made A Maple Vanilla Doppelbock Lager,WI,Doppelbock,8.8%,3.340
Capital Dark Voyage Black IPA,WI,American Black Ale,6.5%,3.340
Upright Spollen Angel,OR,Abbey Tripel,10.6%,3.340
Alaskan Winter Ale,AK,Spiced Beer,6.4%,3.339
Pike Kilt Lifter Scotch Ale,WA,Scottish Ale,6.6%,3.338
Blue Point Rastafa Rye Ale,NY,Rye Beer,7.25%,3.338
Tommyknocker Hop Strike Black Rye IPA,CO,American Black Ale,7%,3.338
Pizza Port Seaside Stout,CA,Dry Stout,3.8%,3.338
Ale Asylum Contorter Porter,WI,Porter,4.8%,3.338
Frankenmuth Mitternacht Munchner Dark Lager,MI,Dunkel / Dark Lager,-,3.338
Heavy Seas Prosit!,MD,Marzen / Oktoberfest,9%,3.338
Liquid Bread Amber Ale,KS,Amber Ale,5%,3.338
Great Divide HotShot ESB,CO,Extra Special Bitter,5%,3.337
Tyranena Rocky's Revenge Bourbon Brown,WI,Brown Ale,5.7%,3.337
Yards India Pale Ale,PA,IPA,8%,3.337
McMenamins IPA,OR,IPA,-,3.337
Big Sky Bobos Robust Porter,MT,Porter,6.2%,3.337
Ybor Gold Brown Ale,FL,Brown Ale,4.4%,3.337
Hair of the Dog Greg,OR,Spiced Beer,4.5%,3.337
Flying Dog K-9 Cruiser Winter Ale,MD,English Strong Ale,7.4%,3.336
Sly Fox Phoenix Pale Ale,PA,American Pale Ale,5.1%,3.336
